time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.61238359417e-06,-3.87944922688e-07,10.0699137432,6.28296833911,0.000343291742876,0.0,-0.000136164039592,-5.45169424291e-05,2.32881917787,-0.0120618628856,0.0152322996014,0.0,899.592055935,900.208443491,899.859989273,899.371745557
0.12000000000000001,-5.48521280818e-05,-3.446410043e-05,10.2788857426,6.28197573416,0.001407544321,0.0,-0.00205951358824,-0.001437144537,4.63063247857,-0.0274903065467,0.0223284533074,0.0,900.103554713,900.390420301,899.521867376,898.897151451
0.18,-0.000319180895652,-0.000248882634746,10.6243949791,6.28054710318,0.00252013890119,0.0,-0.00725241753697,-0.00633424657224,6.8757196301,-0.0173141992186,0.00962874432209,0.0,900.489495152,899.975385156,899.174050778,899.586443324
0.23999999999999996,-0.000971642900251,-0.000861228857184,11.1021653164,6.27996713471,0.00291161726278,0.0,-0.0146583784311,-0.0143518426681,9.03552378432,0.0023941202537,-0.000547267035573,0.0,900.275893451,899.863914958,899.007496624,899.80592091
0.3,-0.00208257049852,-0.00197627390411,11.7063910318,6.28028564821,0.00272522100826,0.0,-0.0222813208604,-0.0226685716481,11.0877648862,0.0105797449059,-0.00879260030371,0.0,900.331786381,899.998150521,899.381891676,899.713303976
0.36000000000000004,-0.00362071063007,-0.00354710255021,12.4300280784,6.28117380186,0.00254231827303,0.0,-0.0288128765149,-0.0293519550465,13.0135482111,0.0221356935277,0.00649410102164,0.0,899.624639589,900.243591312,899.674058299,900.141693818
0.4200000000000001,-0.00553727512921,-0.00543528223227,13.2650772215,6.28256312619,0.00289583539577,0.0,-0.0351461974923,-0.0330756790948,14.7999516436,0.0251205227005,0.00465945724514,0.0,900.040276541,899.965883223,899.983493079,900.104074078
0.48000000000000015,-0.00784464991955,-0.00744340482725,14.2028913198,0.000865059611033,0.00287886080352,0.0,-0.0417523224968,-0.0333653259639,16.4382823458,0.0241125502573,-0.0126727330509,0.0,900.430373794,899.728733603,899.916414697,899.875351746
0.5400000000000001,-0.0105220631792,-0.00937472018166,15.2344798479,0.00211224441136,0.00189921428151,0.0,-0.0471731859757,-0.030624368275,17.9256968838,0.0131288300399,-0.0248786156087,0.0,900.242363929,899.748394975,900.108547547,899.663524794
0.6000000000000002,-0.0134477429768,-0.0110807699809,16.3508203747,0.00276906013049,9.28079789464e-06,0.0,-0.0498524826801,-0.0260882983553,19.2638577502,0.00618040801852,-0.0499939874285,0.0,900.594128896,899.577443924,899.880199146,899.598582521
0.6600000000000003,-0.0164101398063,-0.0124931092986,17.5430857247,0.0028595719979,6.2801819848,0.0,-0.0481226311898,-0.0209825260695,20.4574920124,-0.0100254986704,-0.0506456085963,0.0,900.006691995,899.980120422,900.009482728,899.353019089
0.7200000000000003,-0.0191204102735,-0.0136148128721,18.8028224874,0.0023121782848,6.27692646864,0.0,-0.0415378807168,-0.0165992031842,21.5141996723,-0.00737696774944,-0.0626912933333,0.0,900.052493279,899.564273096,899.635152766,899.742608527
0.7800000000000004,-0.0212942636628,-0.0145079006244,20.1221508967,0.0019029532193,6.27329855591,0.0,-0.0302341737378,-0.013305181549,22.4453501067,-0.00572979358463,-0.0563496933687,0.0,899.96844811,900.224660556,899.790815861,899.857666761
0.8400000000000004,-0.0226634636413,-0.0152276620036,21.4938495796,0.0016664330737,6.26986956065,0.0,-0.0148868252904,-0.010776428304,23.2614504384,-0.000586367170813,-0.0587998755819,0.0,900.511489834,900.411892413,899.835882894,900.044271647
0.9000000000000005,-0.0230113482341,-0.0158087775873,22.9112811998,0.00172868071031,6.26600843004,0.0,0.00376851949866,-0.00861593201764,23.9714286251,0.00410245755049,-0.0787772926583,0.0,900.852287465,900.042860356,899.744030354,899.933927959
0.9600000000000005,-0.0221354162641,-0.0162599582408,24.3683550081,0.00254878607699,6.26086377553,0.0,0.0260305498485,-0.00634562091671,24.5845196806,0.028030396871,-0.105713995464,0.0,900.517395386,899.424333572,899.125676424,900.094955325
1.0200000000000005,-0.0197921792052,-0.0165432178108,25.8595874741,0.00481791087579,6.25404228297,0.0,0.0528336662077,-0.00280056466544,25.1116480457,0.0524314816379,-0.138689323937,0.0,900.128500859,898.787546234,898.895370488,899.884144371
1.0800000000000005,-0.0156751018978,-0.0165403304762,27.3801875414,0.00874537190176,6.24538690181,0.0,0.0853269444834,0.00338888239929,25.5649108279,0.083472742405,-0.158718775342,0.0,899.527530566,898.707494849,898.89002179,900.148553447
1.1400000000000006,-0.00941612309793,-0.0160497331248,28.9261080703,0.0150934561206,6.23541017686,0.0,0.124265043818,0.0137072895895,25.9569554607,0.131341399956,-0.189027013154,0.0,900.001917082,898.762069105,899.073689582,901.015393852
1.2000000000000006,-0.000617116440446,-0.0147679090781,30.4938978575,0.0243962442569,6.22362673751,0.0,0.170095569672,0.0300527903915,26.2951286588,0.181474450239,-0.218159932056,0.0,900.295236288,899.09817562,899.138215019,901.176773132
1.2600000000000007,0.0111544919861,-0.0122767924202,32.080569689,0.0368867569011,6.21009537305,0.0,0.223429266563,0.0542769576676,26.5875259821,0.236388662715,-0.247278238161,0.0,900.489680205,899.287410228,899.2625455,901.502718097
1.3200000000000007,0.0263560844838,-0.00805755898247,33.6835004597,0.0522073647697,6.19472272041,0.0,0.284497704797,0.0878436097143,26.8382848531,0.278451622126,-0.287501584889,0.0,900.365753634,898.705046923,899.131640712,900.863401015
